Project,Dependency,DependencyJar,TotalOriginalClasses
Chronicle-Map,org.codehaus.jettison:jettison:1.4.1,jettison-1.4.1,47
Chronicle-Map,org.ops4j.pax.url:pax-url-aether:2.6.2,pax-url-aether-2.6.2,1960
Chronicle-Map,org.ops4j.pax.url:pax-url-aether-support:2.6.2,pax-url-aether-support-2.6.2,1
Chronicle-Map,org.apache.maven.resolver:maven-resolver-impl:1.3.1,maven-resolver-impl-1.3.1,96
Chronicle-Map,org.apache.maven.resolver:maven-resolver-api:1.3.1,maven-resolver-api-1.3.1,131
Chronicle-Map,org.apache.maven.resolver:maven-resolver-spi:1.3.1,maven-resolver-spi-1.3.1,34
Chronicle-Map,org.apache.maven.resolver:maven-resolver-util:1.3.1,maven-resolver-util-1.3.1,101
Chronicle-Map,org.slf4j:jcl-over-slf4j:1.6.6,jcl-over-slf4j-1.6.6,9
pf4j,org.ow2.asm:asm:9.1,asm-9.1,38
pf4j,org.slf4j:slf4j-api:1.7.30,slf4j-api-1.7.30,34
pf4j,com.github.zafarkhaja:java-semver:0.9.0,java-semver-0.9.0,43
undertow_core,org.jboss.logging:jboss-logging:3.4.1.Final,jboss-logging-3.4.1.Final,35
